veloce-cards	Veloce Cards	Cards	features	hero	false		https://stream.mux.com/ddXdCWhnWM3AQjcQIdU9Mr6vbNAdmH005lmYzLVAwPmQ.m3u8
velorix-iic	Velorix IIC	Hero	hero	hero	false		https://stream.mux.com/1A1zwE4yPfZjC6lZqZcTYxNW5OhXLQhzEgAf8gNEaaY.m3u8
visual-hero	Visual Hero	Hero	hero	hero	true		https://stream.mux.com/i9kUFJpB6GrWoe2UXRZG4lIP02g00LGulS1GTVrMMwZI00.m3u8
waitlist-hero	Waitlist Hero	Hero	hero	hero	false		https://stream.mux.com/00icL00TThGkSTDNf4FpdGxsyMaxQpZux00IAg7sATmtao.m3u8
wanderful-hero	Wanderful Hero	Travel	hero	hero	true		https://stream.mux.com/loU9GqELzagaHuXwR2ucJx02Fpy00LnEAsr4TAHnTriho.m3u8
deck-investor	Investor Deck	Investor Presentations	hero	hero	false		
vitara-hero	Vitara	Landing Page	hero	hero	false		
11	Weblex Dark Hero	Landing Page	hero	hero	false		
8	New Era Automotive Hero	Automotive	hero	hero	false		
bionova-hero	Bionova Biotech	SaaS	hero	hero	false		
19	Viktor Portfolio	Portfolio	hero	hero	false		
